name,sex,age,Passenger_Class,fare,Sibling_Spouses,Parents_Children,embarked,survived
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Male,28.0,1,26.55,0,0,S,1
"Blackwell, Mr. Stephen Weart",Male,45.0,1,35.5,0,0,S,0
"Blank, Mr. Henry",Male,40.0,1,31.0,0,0,C,1
"Bonnell, Miss. Caroline",Female,30.0,1,164.8667,0,0,S,1
"Bonnell, Miss. Elizabeth",Female,58.0,1,26.55,0,0,S,1
"Borebank, Mr. John James",Male,42.0,1,26.55,0,0,S,0
"Bowen, Miss. Grace Scott",Female,45.0,1,262.375,0,0,C,1
"Bowerman, Miss. Elsie Edith",Female,22.0,1,55.0,0,1,S,1
"Bradley, Mr. George (""George Arthur Brayton"")",Male,28.0,1,26.55,0,0,S,1
"Brady, Mr. John Bertram",Male,41.0,1,30.5,0,0,S,0
"Brandeis, Mr. Emil",Male,48.0,1,50.4958,0,0,C,0
"Brewe, Dr. Arthur Jackson",Male,28.0,1,39.6,0,0,C,0
"Brown, Mrs. James Joseph (Margaret Tobin)",Female,44.0,1,27.7208,0,0,C,1
"Brown, Mrs. John Murray (Caroline Lane Lamson)",Female,59.0,1,51.4792,2,0,S,1
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",Female,60.0,1,76.2917,0,0,C,1
"Burns, Miss. Elizabeth Margaret",Female,41.0,1,134.5,0,0,C,1
"Butt, Major. Archibald Willingham",Male,45.0,1,26.55,0,0,S,0
"Cairns, Mr. Alexander",Male,28.0,1,31.0,0,0,S,0
"Calderhead, Mr. Edward Pennington",Male,42.0,1,26.2875,0,0,S,1
"Candee, Mrs. Edward (Helen Churchill Hungerford)",Female,53.0,1,27.4458,0,0,C,1
"Cardeza, Mr. Thomas Drake Martinez",Male,36.0,1,512.3292,0,1,C,1
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",Female,58.0,1,512.3292,0,1,C,1
"Carlsson, Mr. Frans Olof",Male,33.0,1,5.0,0,0,S,0
"Carrau, Mr. Francisco M",Male,28.0,1,47.1,0,0,S,0
"Carrau, Mr. Jose Pedro",Male,17.0,1,47.1,0,0,S,0
"Carter, Master. William Thornton II",Male,11.0,1,120.0,1,2,S,1
"Carter, Miss. Lucile Polk",Female,14.0,1,120.0,1,2,S,1
"Carter, Mr. William Ernest",Male,36.0,1,120.0,1,2,S,1
"Carter, Mrs. William Ernest (Lucile Polk)",Female,36.0,1,120.0,1,2,S,1
"Case, Mr. Howard Brown",Male,49.0,1,26.0,0,0,S,0
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",Female,28.0,1,27.7208,0,0,C,1
"Cavendish, Mr. Tyrell William",Male,36.0,1,78.85,1,0,S,0
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",Female,76.0,1,78.85,1,0,S,1
"Chaffee, Mr. Herbert Fuller",Male,46.0,1,61.175,1,0,S,0
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",Female,47.0,1,61.175,1,0,S,1
"Chambers, Mr. Norman Campbell",Male,27.0,1,53.1,1,0,S,1
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Female,33.0,1,53.1,1,0,S,1
"Chaudanson, Miss. Victorine",Female,36.0,1,262.375,0,0,C,1
"Cherry, Miss. Gladys",Female,30.0,1,86.5,0,0,S,1
"Chevre, Mr. Paul Romaine",Male,45.0,1,29.7,0,0,C,1
"Chibnall, Mrs. (Edith Martha Bowerman)",Female,28.0,1,55.0,0,1,S,1
"Chisholm, Mr. Roderick Robert Crispin",Male,28.0,1,0.0,0,0,S,0
"Clark, Mr. Walter Miller",Male,27.0,1,136.7792,1,0,C,0
"Clark, Mrs. Walter Miller (Virginia McDowell)",Female,26.0,1,136.7792,1,0,C,1
"Cleaver, Miss. Alice",Female,22.0,1,151.55,0,0,S,1
"Clifford, Mr. George Quincy",Male,28.0,1,52.0,0,0,S,0
"Colley, Mr. Edward Pomeroy",Male,47.0,1,25.5875,0,0,S,0
"Compton, Miss. Sara Rebecca",Female,39.0,1,83.1583,1,1,C,1
"Compton, Mr. Alexander Taylor Jr",Male,37.0,1,83.1583,1,1,C,0
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",Female,64.0,1,83.1583,0,2,C,1
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",Female,55.0,1,25.7,2,0,S,1
"Crafton, Mr. John Bertram",Male,28.0,1,26.55,0,0,S,0
"Crosby, Capt. Edward Gifford",Male,70.0,1,71.0,1,1,S,0
"Crosby, Miss. Harriet R",Female,36.0,1,71.0,0,2,S,1
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",Female,64.0,1,26.55,1,1,S,1
"Cumings, Mr. John Bradley",Male,39.0,1,71.2833,1,0,C,0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,38.0,1,71.2833,1,0,C,1
"Daly, Mr. Peter Denis",Male,51.0,1,26.55,0,0,S,1
"Daniel, Mr. Robert Williams",Male,27.0,1,30.5,0,0,S,1
"Daniels, Miss. Sarah",Female,33.0,1,151.55,0,0,S,1
"Davidson, Mr. Thornton",Male,31.0,1,52.0,1,0,S,0
"Davidson, Mrs. Thornton (Orian Hays)",Female,27.0,1,52.0,1,2,S,1
"Dick, Mr. Albert Adrian",Male,31.0,1,57.0,1,0,S,1
"Dick, Mrs. Albert Adrian (Vera Gillespie)",Female,17.0,1,57.0,1,0,S,1
"Dodge, Dr. Washington",Male,53.0,1,81.8583,1,1,S,1
"Dodge, Master. Washington",Male,4.0,1,81.8583,0,2,S,1
"Dodge, Mrs. Washington (Ruth Vidaver)",Female,54.0,1,81.8583,1,1,S,1
"Douglas, Mr. Walter Donald",Male,50.0,1,106.425,1,0,C,0
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",Female,27.0,1,247.5208,1,1,C,1
"Douglas, Mrs. Walter Donald (Mahala Dutton)",Female,48.0,1,106.425,1,0,C,1
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Female,48.0,1,39.6,1,0,C,1
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Male,49.0,1,56.9292,1,0,C,1
"Dulles, Mr. William Crothers",Male,39.0,1,29.7,0,0,C,0
"Earnshaw, Mrs. Boulton (Olive Potter)",Female,23.0,1,83.1583,0,1,C,1
"Endres, Miss. Caroline Louise",Female,38.0,1,227.525,0,0,C,1
"Eustis, Miss. Elizabeth Mussey",Female,54.0,1,78.2667,1,0,C,1
"Evans, Miss. Edith Corse",Female,36.0,1,31.6792,0,0,C,0
"Farthing, Mr. John",Male,28.0,1,221.7792,0,0,S,0
"Flegenheim, Mrs. Alfred (Antoinette)",Female,28.0,1,31.6833,0,0,S,1
"Fleming, Miss. Margaret",Female,28.0,1,110.8833,0,0,C,1
"Flynn, Mr. John Irwin (""Irving"")",Male,36.0,1,26.3875,0,0,S,1
"Foreman, Mr. Benjamin Laventall",Male,30.0,1,27.75,0,0,C,0
"Fortune, Miss. Alice Elizabeth",Female,24.0,1,263.0,3,2,S,1
"Fortune, Miss. Ethel Flora",Female,28.0,1,263.0,3,2,S,1
"Fortune, Miss. Mabel Helen",Female,23.0,1,263.0,3,2,S,1
"Fortune, Mr. Charles Alexander",Male,19.0,1,263.0,3,2,S,0
"Fortune, Mr. Mark",Male,64.0,1,263.0,1,4,S,0
"Fortune, Mrs. Mark (Mary McDougald)",Female,60.0,1,263.0,1,4,S,1
"Francatelli, Miss. Laura Mabel",Female,30.0,1,56.9292,0,0,C,1
"Franklin, Mr. Thomas Parham",Male,28.0,1,26.55,0,0,S,0
"Frauenthal, Dr. Henry William",Male,50.0,1,133.65,2,0,S,1
"Frauenthal, Mr. Isaac Gerald",Male,43.0,1,27.7208,1,0,C,1
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Female,28.0,1,133.65,1,0,S,1
"Frolicher, Miss. Hedwig Margaritha",Female,22.0,1,49.5,0,2,C,1
"Frolicher-Stehli, Mr. Maxmillian",Male,60.0,1,79.2,1,1,C,1
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",Female,48.0,1,79.2,1,1,C,1
"Fry, Mr. Richard",Male,28.0,1,0.0,0,0,S,0
"Futrelle, Mr. Jacques Heath",Male,37.0,1,53.1,1,0,S,0
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Female,35.0,1,53.1,1,0,S,1
"Gee, Mr. Arthur H",Male,47.0,1,38.5,0,0,S,0
"Geiger, Miss. Amalie",Female,35.0,1,211.5,0,0,C,1
"Gibson, Miss. Dorothy Winifred",Female,22.0,1,59.4,0,1,C,1
"Gibson, Mrs. Leonard (Pauline C Boeson)",Female,45.0,1,59.4,0,1,C,1
"Giglio, Mr. Victor",Male,24.0,1,79.2,0,0,C,0
"Goldenberg, Mr. Samuel L",Male,49.0,1,89.1042,1,0,C,1
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Female,28.0,1,89.1042,1,0,C,1
"Goldschmidt, Mr. George B",Male,71.0,1,34.6542,0,0,C,0
"Gracie, Col. Archibald IV",Male,53.0,1,28.5,0,0,C,1
"Graham, Miss. Margaret Edith",Female,19.0,1,30.0,0,0,S,1
"Graham, Mr. George Edward",Male,38.0,1,153.4625,0,1,S,0
"Graham, Mrs. William Thompson (Edith Junkins)",Female,58.0,1,153.4625,0,1,S,1
"Greenfield, Mr. William Bertram",Male,23.0,1,63.3583,0,1,C,1
"Greenfield, Mrs. Leo David (Blanche Strouse)",Female,45.0,1,63.3583,0,1,C,1
"Guggenheim, Mr. Benjamin",Male,46.0,1,79.2,0,0,C,0
"Harder, Mr. George Achilles",Male,25.0,1,55.4417,1,0,C,1
"Harder, Mrs. George Achilles (Dorothy Annan)",Female,25.0,1,55.4417,1,0,C,1
"Harper, Mr. Henry Sleeper",Male,48.0,1,76.7292,1,0,C,1
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Female,49.0,1,76.7292,1,0,C,1
"Harrington, Mr. Charles H",Male,28.0,1,42.4,0,0,S,0
"Harris, Mr. Henry Birkhardt",Male,45.0,1,83.475,1,0,S,0
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Female,35.0,1,83.475,1,0,S,1
"Harrison, Mr. William",Male,40.0,1,0.0,0,0,S,0
"Hassab, Mr. Hammad",Male,27.0,1,76.7292,0,0,C,1
"Hawksford, Mr. Walter James",Male,28.0,1,30.0,0,0,S,1
"Hays, Miss. Margaret Bechstein",Female,24.0,1,83.1583,0,0,C,1
"Hays, Mr. Charles Melville",Male,55.0,1,93.5,1,1,S,0
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Female,52.0,1,93.5,1,1,S,1
"Head, Mr. Christopher",Male,42.0,1,42.5,0,0,S,0
"Hilliard, Mr. Herbert Henry",Male,28.0,1,51.8625,0,0,S,0
"Hipkins, Mr. William Edward",Male,55.0,1,50.0,0,0,S,0
"Hippach, Miss. Jean Gertrude",Female,16.0,1,57.9792,0,1,C,1
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Female,44.0,1,57.9792,0,1,C,1
"Hogeboom, Mrs. John C (Anna Andrews)",Female,51.0,1,77.9583,1,0,S,1
"Holverson, Mr. Alexander Oskar",Male,42.0,1,52.0,1,0,S,0
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Female,35.0,1,52.0,1,0,S,1
"Homer, Mr. Harry (""Mr E Haven"")",Male,35.0,1,26.55,0,0,C,1
"Hoyt, Mr. Frederick Maxfield",Male,38.0,1,90.0,1,0,S,1
"Hoyt, Mr. William Fisher",Male,28.0,1,30.6958,0,0,C,0
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Female,35.0,1,90.0,1,0,S,1
"Icard, Miss. Amelie",Female,38.0,1,80.0,0,0,S,1
"Isham, Miss. Ann Elizabeth",Female,50.0,1,28.7125,0,0,C,0
"Ismay, Mr. Joseph Bruce",Male,49.0,1,0.0,0,0,S,1
"Jones, Mr. Charles Cresson",Male,46.0,1,26.0,0,0,S,0
"Julian, Mr. Henry Forbes",Male,50.0,1,26.0,0,0,S,0
"Keeping, Mr. Edwin",Male,32.5,1,211.5,0,0,C,0
"Kent, Mr. Edward Austin",Male,58.0,1,29.7,0,0,C,0
"Kenyon, Mr. Frederick R",Male,41.0,1,51.8625,1,0,S,0
"Kenyon, Mrs. Frederick R (Marion)",Female,28.0,1,51.8625,1,0,S,1
"Kimball, Mr. Edwin Nelson Jr",Male,42.0,1,52.5542,1,0,S,1
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",Female,45.0,1,52.5542,1,0,S,1
"Klaber, Mr. Herman",Male,28.0,1,26.55,0,0,S,0
"Kreuchen, Miss. Emilie",Female,39.0,1,211.3375,0,0,S,1
"Leader, Dr. Alice (Farnham)",Female,49.0,1,25.9292,0,0,S,1
"LeRoy, Miss. Bertha",Female,30.0,1,106.425,0,0,C,1
"Lesurer, Mr. Gustave J",Male,35.0,1,512.3292,0,0,C,1
"Lewy, Mr. Ervin G",Male,28.0,1,27.7208,0,0,C,0
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",Male,42.0,1,26.55,0,0,S,0
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",Female,55.0,1,27.7208,0,0,C,1
"Lines, Miss. Mary Conover",Female,16.0,1,39.4,0,1,S,1
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",Female,51.0,1,39.4,0,1,S,1
"Long, Mr. Milton Clyde",Male,29.0,1,30.0,0,0,S,0
"Longley, Miss. Gretchen Fiske",Female,21.0,1,77.9583,0,0,S,1
"Loring, Mr. Joseph Holland",Male,30.0,1,45.5,0,0,S,0
"Lurette, Miss. Elise",Female,58.0,1,146.5208,0,0,C,1
"Madill, Miss. Georgette Alexandra",Female,15.0,1,211.3375,0,1,S,1
"Maguire, Mr. John Edward",Male,30.0,1,26.0,0,0,S,0
"Maioni, Miss. Roberta",Female,16.0,1,86.5,0,0,S,1
"Marechal, Mr. Pierre",Male,28.0,1,29.7,0,0,C,1
"Marvin, Mr. Daniel Warner",Male,19.0,1,53.1,1,0,S,0
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",Female,18.0,1,53.1,1,0,S,1
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Female,24.0,1,49.5042,0,0,C,1
"McCaffry, Mr. Thomas Francis",Male,46.0,1,75.2417,0,0,C,0
"McCarthy, Mr. Timothy J",Male,54.0,1,51.8625,0,0,S,0
"McGough, Mr. James Robert",Male,36.0,1,26.2875,0,0,S,1
"Meyer, Mr. Edgar Joseph",Male,28.0,1,82.1708,1,0,C,0
"Meyer, Mrs. Edgar Joseph (Leila Saks)",Female,28.0,1,82.1708,1,0,C,1
"Millet, Mr. Francis Davis",Male,65.0,1,26.55,0,0,S,0
"Minahan, Dr. William Edward",Male,44.0,1,90.0,2,0,Q,0
"Minahan, Miss. Daisy E",Female,33.0,1,90.0,1,0,Q,1
"Minahan, Mrs. William Edward (Lillian E Thorpe)",Female,37.0,1,90.0,1,0,Q,1
"Mock, Mr. Philipp Edmund",Male,30.0,1,57.75,1,0,C,1
"Molson, Mr. Harry Markland",Male,55.0,1,30.5,0,0,S,0
"Moore, Mr. Clarence Bloomfield",Male,47.0,1,42.4,0,0,S,0
"Natsch, Mr. Charles H",Male,37.0,1,29.7,0,1,C,0
"Newell, Miss. Madeleine",Female,31.0,1,113.275,1,0,C,1
"Newell, Miss. Marjorie",Female,23.0,1,113.275,1,0,C,1
"Newell, Mr. Arthur Webster",Male,58.0,1,113.275,0,2,C,0
"Newsom, Miss. Helen Monypeny",Female,19.0,1,26.2833,0,2,S,1
"Nicholson, Mr. Arthur Ernest",Male,64.0,1,26.0,0,0,S,0
"Oliva y Ocana, Dona. Fermina",Female,39.0,1,108.9,0,0,C,1
"Omont, Mr. Alfred Fernand",Male,28.0,1,25.7417,0,0,C,1
"Ostby, Miss. Helene Ragnhild",Female,22.0,1,61.9792,0,1,C,1
"Ostby, Mr. Engelhart Cornelius",Male,65.0,1,61.9792,0,1,C,0
"Ovies y Rodriguez, Mr. Servando",Male,28.5,1,27.7208,0,0,C,0
"Parr, Mr. William Henry Marsh",Male,28.0,1,0.0,0,0,S,0
"Partner, Mr. Austen",Male,45.5,1,28.5,0,0,S,0
"Payne, Mr. Vivian Ponsonby",Male,23.0,1,93.5,0,0,S,0
"Pears, Mr. Thomas Clinton",Male,29.0,1,66.6,1,0,S,0
"Pears, Mrs. Thomas (Edith Wearne)",Female,22.0,1,66.6,1,0,S,1
"Penasco y Castellana, Mr. Victor de Satode",Male,18.0,1,108.9,1,0,C,0
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Female,17.0,1,108.9,1,0,C,1
"Perreault, Miss. Anne",Female,30.0,1,93.5,0,0,S,1
"Peuchen, Major. Arthur Godfrey",Male,52.0,1,30.5,0,0,S,1
"Porter, Mr. Walter Chamberlain",Male,47.0,1,52.0,0,0,S,0
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",Female,56.0,1,83.1583,0,1,C,1
"Reuchlin, Jonkheer. John George",Male,38.0,1,0.0,0,0,S,0
"Rheims, Mr. George Alexander Lucien",Male,28.0,1,39.6,0,0,S,1
"Ringhini, Mr. Sante",Male,22.0,1,135.6333,0,0,C,0
"Robbins, Mr. Victor",Male,28.0,1,227.525,0,0,C,0
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Female,43.0,1,211.3375,0,1,S,1
"Roebling, Mr. Washington Augustus II",Male,31.0,1,50.4958,0,0,S,0
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Male,45.0,1,26.55,0,0,S,1
"Rood, Mr. Hugh Roscoe",Male,28.0,1,50.0,0,0,S,0
"Rosenbaum, Miss. Edith Louise",Female,33.0,1,27.7208,0,0,C,1
"Rosenshine, Mr. George (""Mr George Thorne"")",Male,46.0,1,79.2,0,0,C,0
"Ross, Mr. John Hugo",Male,36.0,1,40.125,0,0,C,0
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Female,33.0,1,86.5,0,0,S,1
"Rothschild, Mr. Martin",Male,55.0,1,59.4,1,0,C,0
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Female,54.0,1,59.4,1,0,C,1
"Rowe, Mr. Alfred G",Male,33.0,1,26.55,0,0,S,0
"Ryerson, Master. John Borie",Male,13.0,1,262.375,2,2,C,1
"Ryerson, Miss. Emily Borie",Female,18.0,1,262.375,2,2,C,1
"Ryerson, Miss. Susan Parker ""Suzette""",Female,21.0,1,262.375,2,2,C,1
"Ryerson, Mr. Arthur Larned",Male,61.0,1,262.375,1,3,C,0
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",Female,48.0,1,262.375,1,3,C,1
"Saalfeld, Mr. Adolphe",Male,28.0,1,30.5,0,0,S,1
"Sagesser, Mlle. Emma",Female,24.0,1,69.3,0,0,C,1
"Salomon, Mr. Abraham L",Male,28.0,1,26.0,0,0,S,1
"Schabert, Mrs. Paul (Emma Mock)",Female,35.0,1,57.75,1,0,C,1
"Serepeca, Miss. Augusta",Female,30.0,1,31.0,0,0,C,1
"Seward, Mr. Frederic Kimber",Male,34.0,1,26.55,0,0,S,1
"Shutes, Miss. Elizabeth W",Female,40.0,1,153.4625,0,0,S,1
"Silverthorne, Mr. Spencer Victor",Male,35.0,1,26.2875,0,0,S,1
"Silvey, Mr. William Baird",Male,50.0,1,55.9,1,0,S,0
"Silvey, Mrs. William Baird (Alice Munger)",Female,39.0,1,55.9,1,0,S,1
"Simonius-Blumer, Col. Oberst Alfons",Male,56.0,1,35.5,0,0,C,1
"Sloper, Mr. William Thompson",Male,28.0,1,35.5,0,0,S,1
"Smart, Mr. John Montgomery",Male,56.0,1,26.55,0,0,S,0
"Smith, Mr. James Clinch",Male,56.0,1,30.6958,0,0,C,0
"Smith, Mr. Lucien Philip",Male,24.0,1,60.0,1,0,S,0
"Smith, Mr. Richard William",Male,28.0,1,26.0,0,0,S,0
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",Female,18.0,1,60.0,1,0,S,1
"Snyder, Mr. John Pillsbury",Male,24.0,1,82.2667,1,0,S,1
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",Female,23.0,1,82.2667,1,0,S,1
"Spedden, Master. Robert Douglas",Male,6.0,1,134.5,0,2,C,1
"Spedden, Mr. Frederic Oakley",Male,45.0,1,134.5,1,1,C,1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Female,40.0,1,134.5,1,1,C,1
"Spencer, Mr. William Augustus",Male,57.0,1,146.5208,1,0,C,0
"Spencer, Mrs. William Augustus (Marie Eugenie)",Female,28.0,1,146.5208,1,0,C,1
"Stahelin-Maeglin, Dr. Max",Male,32.0,1,30.5,0,0,C,1
"Stead, Mr. William Thomas",Male,62.0,1,26.55,0,0,S,0
"Stengel, Mr. Charles Emil Henry",Male,54.0,1,55.4417,1,0,C,1
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",Female,43.0,1,55.4417,1,0,C,1
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Female,52.0,1,78.2667,1,0,C,1
"Stewart, Mr. Albert A",Male,28.0,1,27.7208,0,0,C,0
"Stone, Mrs. George Nelson (Martha Evelyn)",Female,62.0,1,80.0,0,0,S,1
"Straus, Mr. Isidor",Male,67.0,1,221.7792,1,0,S,0
"Straus, Mrs. Isidor (Rosalie Ida Blun)",Female,63.0,1,221.7792,1,0,S,0
"Sutton, Mr. Frederick",Male,61.0,1,32.3208,0,0,S,0
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Female,48.0,1,25.9292,0,0,S,1
"Taussig, Miss. Ruth",Female,18.0,1,79.65,0,2,S,1
"Taussig, Mr. Emil",Male,52.0,1,79.65,1,1,S,0
"Taussig, Mrs. Emil (Tillie Mandelbaum)",Female,39.0,1,79.65,1,1,S,1
"Taylor, Mr. Elmer Zebley",Male,48.0,1,52.0,1,0,S,1
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Female,28.0,1,52.0,1,0,S,1
"Thayer, Mr. John Borland",Male,49.0,1,110.8833,1,1,C,0
"Thayer, Mr. John Borland Jr",Male,17.0,1,110.8833,0,2,C,1
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Female,39.0,1,110.8833,1,1,C,1
"Thorne, Mrs. Gertrude Maybelle",Female,28.0,1,79.2,0,0,C,1
"Tucker, Mr. Gilbert Milligan Jr",Male,31.0,1,28.5375,0,0,C,1
"Uruchurtu, Don. Manuel E",Male,40.0,1,27.7208,0,0,C,0
"Van der hoef, Mr. Wyckoff",Male,61.0,1,33.5,0,0,S,0
"Walker, Mr. William Anderson",Male,47.0,1,34.0208,0,0,S,0
"Ward, Miss. Anna",Female,35.0,1,512.3292,0,0,C,1
"Warren, Mr. Frank Manley",Male,64.0,1,75.25,1,0,C,0
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Female,60.0,1,75.25,1,0,C,1
"Weir, Col. John",Male,60.0,1,26.55,0,0,S,0
"White, Mr. Percival Wayland",Male,54.0,1,77.2875,0,1,S,0
"White, Mr. Richard Frasar",Male,21.0,1,77.2875,0,1,S,0
"White, Mrs. John Stuart (Ella Holmes)",Female,55.0,1,135.6333,0,0,C,1
"Wick, Miss. Mary Natalie",Female,31.0,1,164.8667,0,2,S,1
"Wick, Mr. George Dennick",Male,57.0,1,164.8667,1,1,S,0
"Wick, Mrs. George Dennick (Mary Hitchcock)",Female,45.0,1,164.8667,1,1,S,1
"Widener, Mr. George Dunton",Male,50.0,1,211.5,1,1,C,0
"Widener, Mr. Harry Elkins",Male,27.0,1,211.5,0,2,C,0
"Widener, Mrs. George Dunton (Eleanor Elkins)",Female,50.0,1,211.5,1,1,C,1
"Willard, Miss. Constance",Female,21.0,1,26.55,0,0,S,1
"Williams, Mr. Charles Duane",Male,51.0,1,61.3792,0,1,C,0
"Williams, Mr. Richard Norris II",Male,21.0,1,61.3792,0,1,C,1
"Williams-Lambert, Mr. Fletcher Fellows",Male,28.0,1,35.0,0,0,S,0
"Wilson, Miss. Helen Alice",Female,31.0,1,134.5,0,0,C,1
"Woolner, Mr. Hugh",Male,28.0,1,35.5,0,0,S,1
"Wright, Mr. George",Male,62.0,1,26.55,0,0,S,0
"Young, Miss. Marie Grice",Female,36.0,1,135.6333,0,0,C,1
"Abelson, Mr. Samuel",Male,30.0,2,24.0,1,0,C,0
"Abelson, Mrs. Samuel (Hannah Wizosky)",Female,28.0,2,24.0,1,0,C,1
"Aldworth, Mr. Charles Augustus",Male,30.0,2,13.0,0,0,S,0
"Andrew, Mr. Edgardo Samuel",Male,18.0,2,11.5,0,0,S,0
"Andrew, Mr. Frank Thomas",Male,25.0,2,10.5,0,0,S,0
"Angle, Mr. William A",Male,34.0,2,26.0,1,0,S,0
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Female,36.0,2,26.0,1,0,S,1
"Ashby, Mr. John",Male,57.0,2,13.0,0,0,S,0
"Bailey, Mr. Percy Andrew",Male,18.0,2,11.5,0,0,S,0
